1;0.01
2;0
3;0.03
4;0.02
5;0.12
6;0
7;0.03
8;0.05
9;0.02
10;0.2
11;0.3
12;0.24
13;0.04
14;0.08
15;0.24
16;0.12
17;0.01
18;0.07
19;0.01
20;0.09
21;0.36
22;0.02
23;0.06
24;0.04
25;0.22
26;0.07
27;0.22
28;0.07
29;0.08
30;0.41
31;0.05
32;0.03
33;0.02
34;0.21
35;0.04
36;0.05
37;0.02
38;0.12
39;0.02
40;0
41;0.43
42;0
43;0.12
44;0.25
45;0.07
46;0.01
47;0
48;0.01
49;0.05
50;0.06
51;0
52;0.09
53;0.01
54;0.01
55;0.16
56;0.05
57;0.62
58;0.09
59;0.05
60;0.01
61;0
62;0.09
63;0.12
64;0.04
65;0.3
66;0.16
67;0.45
68;0.06
69;0.12
70;0
71;0
72;0.01
73;0
74;0
75;0.04
76;0.38
77;0.22
78;0.01
79;0.06
80;0.37
81;0.01
82;0.2
83;0.03
84;0
85;0.35
86;0.03
87;0.03
88;0.03
89;0.03
90;0.07
91;0.22
92;0.11
93;0.25
94;0.01
95;0.02
96;0.09
97;0.02
98;0.08
99;0
100;0
101;0.27
102;0.05
103;0
104;0.39
105;0.3
106;0.26
107;0.01
108;0.01
109;0.37
110;0.13
111;0.67
112;0
113;0.17
114;0
115;0.1
116;0.02
117;0.35
118;0
119;0.25
120;0.03
121;0.11
122;0
123;0.1
124;0.31
125;0.51
126;0
127;0.16
128;0.12
129;0.13
130;0.32
131;0.2
132;0.03
133;0.01
134;0.11
135;0.04
136;0.37
137;0.01
138;0.09
139;0.02
140;0.07
141;0
142;0.15
143;0.11
144;0.01
145;0.19
146;0
147;0.03
148;0.38
149;0.38
150;0.13
151;0.03
152;0.12
153;0.4
154;0.09
155;0.01
156;0.04
157;0.06
158;0.17
159;0
160;0.05
161;0.05
162;0.02
163;0
164;0.38
165;0.06
166;0.07
167;0.12
168;0.25
169;0.2
170;0.01
171;0.02
172;0.03
173;0.01
174;0.32
175;0.06
176;0.22
177;0
178;0.1
179;0.39
180;0.28
181;0.31
182;0.03
183;0.09
184;0.04
185;0
186;0.18
187;0.06
188;0.12
189;0.15
190;0.12
191;0.22
192;0.17
193;0.05
194;0.29
195;0.11
196;0.45
197;0.53
198;0.01
199;0.04
200;0.6
201;0
202;0.01
203;0.01
204;0
205;0.59
206;0.09
207;0.01
208;0.04
209;0
210;0.05
211;0.21
212;0.04
213;0.02
214;0.2
215;0
216;0.35
217;0.09
218;0.15
219;0
220;0
221;0.15
222;0.16
223;0.08
224;0.1
225;0.26
226;0
227;0.15
228;0.06
229;0.02
230;0.25
231;0.64
232;0.37
233;0
234;0.45
235;0.07
236;0.01
237;0.18
238;0.17
239;0.64
240;0.32
241;0.12
242;0.02
243;0.1
244;0.31
245;0.07
246;0.37
247;0.05
248;0.03
249;0.12
250;0.22
