n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.792;250;47.83;47.83;4.42;4.5
10;50;0.2;0.4;0.764;250;47.83;47.83;4.49;4.59
10;50;0.5;0;0.796;250;22.7;22.7;4.05;4.18
10;50;0.5;0.4;0.776;250;22.7;22.7;4.15;4.34
10;100;0.2;0;0.864;250;95.51;95.51;4.93;5.12
10;100;0.2;0.4;0.784;250;95.51;95.51;5.16;5.48
10;100;0.5;0;0.896;250;42.62;42.62;4.64;4.99
10;100;0.5;0.4;0.864;250;42.62;42.62;4.82;5.21
10;150;0.2;0;0.828;250;142.76;142.76;5.34;5.64
10;150;0.2;0.4;0.704;250;142.76;142.76;5.82;6.38
10;150;0.5;0;0.86;250;65.26;65.26;5.46;6.16
10;150;0.5;0.4;0.796;250;65.26;65.26;5.7;6.5
20;50;0.2;0;0.992;250;49.97;49.97;5.05;5.06
20;50;0.2;0.4;0.984;250;49.97;49.97;5.08;5.1
20;50;0.5;0;0.988;250;38.03;38.03;5.13;5.22
20;50;0.5;0.4;0.964;250;38.03;38.03;5.29;5.42
20;100;0.2;0;0.996;250;99.89;99.89;5.49;5.52
20;100;0.2;0.4;0.996;250;99.89;99.89;5.54;5.57
20;100;0.5;0;0.98;250;71.76;71.76;5.77;5.99
20;100;0.5;0.4;0.928;250;71.76;71.76;6.22;6.6
20;150;0.2;0;1;250;149.87;149.87;5.75;5.78
20;150;0.2;0.4;1;250;149.87;149.87;5.81;5.85
20;150;0.5;0;0.98;250;104.11;104.11;6.36;6.67
20;150;0.5;0.4;0.908;250;104.11;104.11;7.26;7.83
