n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;1;250;49.92;49.92;4.36;9.8
10;50;0.2;0.4;1;250;49.92;49.92;4.38;10.64
10;50;0.5;0;1;250;39.32;39.32;4.37;18.84
10;50;0.5;0.4;1;250;39.32;39.32;4.5;21.41
10;50;0.8;0;0.724;246;9.28;9.28;3.42;8.42
10;50;0.8;0.4;0.739;245;9.3;9.3;3.43;8.48
10;100;0.2;0;1;250;99.83;99.83;4.77;17.36
10;100;0.2;0.4;1;250;99.83;99.83;4.82;19.06
10;100;0.5;0;1;250;74.79;74.79;4.98;31.57
10;100;0.5;0.4;1;250;74.79;74.79;5.25;36.57
10;100;0.8;0;0.884;250;16.92;16.92;3.76;12.39
10;100;0.8;0.4;0.86;250;16.92;16.92;3.78;12.91
10;150;0.2;0;1;250;149.74;149.74;5.02;24.97
10;150;0.2;0.4;0.996;250;149.74;149.74;5.12;27.65
10;150;0.5;0;1;250;110.38;110.38;5.66;44.2
10;150;0.5;0.4;1;250;110.38;110.38;6.09;50.57
10;150;0.8;0;0.96;250;24.51;24.51;3.99;16.68
10;150;0.8;0.4;0.92;250;24.51;24.51;4.04;16.49
20;50;0.2;0;1;250;50;50;5;6.72
20;50;0.2;0.4;1;250;50;50;5.02;6.93
20;50;0.5;0;1;250;48.3;48.3;5.16;17.34
20;50;0.5;0.4;1;250;48.3;48.3;5.24;19.44
20;50;0.8;0;1;250;17.68;17.68;4.54;14.86
20;50;0.8;0.4;0.996;250;17.68;17.68;4.57;15.36
20;100;0.2;0;1;250;100;100;5.4;9.59
20;100;0.2;0.4;1;250;100;100;5.42;10.54
20;100;0.5;0;1;250;95.23;95.23;5.71;28.85
20;100;0.5;0.4;1;250;95.23;95.23;5.91;32.82
20;100;0.8;0;1;250;33.64;33.64;5.01;23.28
20;100;0.8;0.4;0.996;250;33.64;33.64;5.17;24.79
20;150;0.2;0;1;250;150;150;5.64;13.11
20;150;0.2;0.4;1;250;150;150;5.66;14.55
20;150;0.5;0;1;250;141.8;141.8;6.09;39.65
20;150;0.5;0.4;1;250;141.8;141.8;6.65;46.01
20;150;0.8;0;1;250;47.66;47.66;5.47;30.13
20;150;0.8;0.4;1;250;47.66;47.66;5.6;30.71
