n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;1;250
10;50;0.2;0.4;1;250
10;50;0.5;0;0.78;250
10;50;0.5;0.4;0.804;250
10;50;0.8;0;0.712;250
10;50;0.8;0.4;0.712;250
10;100;0.2;0;1;250
10;100;0.2;0.4;1;250
10;100;0.5;0;0.844;250
10;100;0.5;0.4;0.872;250
10;100;0.8;0;0.548;250
10;100;0.8;0.4;0.552;250
10;150;0.2;0;1;250
10;150;0.2;0.4;1;250
10;150;0.5;0;0.924;250
10;150;0.5;0.4;0.936;250
10;150;0.8;0;0.416;250
10;150;0.8;0.4;0.416;250
20;50;0.2;0;0.996;250
20;50;0.2;0.4;0.996;250
20;50;0.5;0;0.312;250
20;50;0.5;0.4;0.312;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;1;250
20;100;0.2;0.4;1;250
20;100;0.5;0;0.124;250
20;100;0.5;0.4;0.124;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;1;250
20;150;0.2;0.4;1;250
20;150;0.5;0;0.144;250
20;150;0.5;0.4;0.144;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
