n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.068;250
10;50;0.2;0.4;0.072;250
10;50;0.5;0;0.108;250
10;50;0.5;0.4;0.12;250
10;50;0.8;0;0.996;250
10;50;0.8;0.4;0.996;250
10;100;0.2;0;0.124;250
10;100;0.2;0.4;0.104;250
10;100;0.5;0;0.096;250
10;100;0.5;0.4;0.1;250
10;100;0.8;0;0.988;250
10;100;0.8;0.4;0.988;250
10;150;0.2;0;0.164;250
10;150;0.2;0.4;0.08;250
10;150;0.5;0;0.152;250
10;150;0.5;0.4;0.116;250
10;150;0.8;0;0.956;250
10;150;0.8;0.4;0.96;250
20;50;0.2;0;0.152;250
20;50;0.2;0.4;0.128;250
20;50;0.5;0;0.92;250
20;50;0.5;0.4;0.916;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.228;250
20;100;0.2;0.4;0.168;250
20;100;0.5;0;0.788;250
20;100;0.5;0.4;0.776;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.264;250
20;150;0.2;0.4;0.2;250
20;150;0.5;0;0.58;250
20;150;0.5;0.4;0.588;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
