n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.164;250;47.65;47.65;4.44;4.52
10;50;0.2;0.4;0.104;250;47.65;47.65;4.52;4.68
10;50;0.5;0;0.236;250;20.17;20.17;3.98;4.09
10;50;0.5;0.4;0.192;250;20.17;20.17;4.08;4.21
10;100;0.2;0;0.048;250;94.69;94.69;4.96;5.13
10;100;0.2;0.4;0.092;250;94.69;94.69;5.28;5.59
10;100;0.5;0;0.108;250;38.84;38.84;4.66;4.94
10;100;0.5;0.4;0.16;250;38.84;38.84;4.83;5.16
10;150;0.2;0;0.02;250;141.82;141.82;5.35;5.61
10;150;0.2;0.4;0.056;250;141.82;141.82;5.95;6.51
10;150;0.5;0;0.032;250;56.52;56.52;5.34;5.82
10;150;0.5;0.4;0.08;250;56.52;56.52;5.53;6.11
20;50;0.2;0;0.852;250;49.96;49.96;5.06;5.07
20;50;0.2;0.4;0.708;250;49.96;49.96;5.1;5.12
20;50;0.5;0;0.664;250;35.53;35.53;5.07;5.14
20;50;0.5;0.4;0.536;250;35.53;35.53;5.23;5.37
20;100;0.2;0;0.612;250;99.9;99.9;5.51;5.53
20;100;0.2;0.4;0.248;250;99.9;99.9;5.55;5.59
20;100;0.5;0;0.14;250;67.45;67.45;5.7;5.87
20;100;0.5;0.4;0.148;250;67.45;67.45;6.14;6.49
20;150;0.2;0;0.408;250;149.84;149.84;5.78;5.81
20;150;0.2;0.4;0.088;250;149.84;149.84;5.85;5.9
20;150;0.5;0;0.052;250;96.12;96.12;6.26;6.53
20;150;0.5;0.4;0.032;250;96.12;96.12;6.96;7.47
