n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.828;250
10;50;0.2;0.4;0.404;250
10;50;0.5;0;0.2;250
10;50;0.5;0.4;0.156;250
10;50;0.8;0;0.768;250
10;50;0.8;0.4;0.788;250
10;100;0.2;0;0.936;250
10;100;0.2;0.4;0.432;250
10;100;0.5;0;0.232;250
10;100;0.5;0.4;0.208;250
10;100;0.8;0;0.584;250
10;100;0.8;0.4;0.596;250
10;150;0.2;0;0.964;250
10;150;0.2;0.4;0.484;250
10;150;0.5;0;0.3;250
10;150;0.5;0.4;0.236;250
10;150;0.8;0;0.508;250
10;150;0.8;0.4;0.476;250
20;50;0.2;0;0.6;250
20;50;0.2;0.4;0.412;250
20;50;0.5;0;0.432;250
20;50;0.5;0.4;0.38;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.784;250
20;100;0.2;0.4;0.548;250
20;100;0.5;0;0.16;250
20;100;0.5;0.4;0.172;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.824;250
20;150;0.2;0.4;0.628;250
20;150;0.5;0;0.124;250
20;150;0.5;0.4;0.144;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
