n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.328;250
10;50;0.2;0.4;0.268;250
10;50;0.5;0;0.296;250
10;50;0.5;0.4;0.296;250
10;100;0.2;0;0.528;250
10;100;0.2;0.4;0.28;250
10;100;0.5;0;0.348;250
10;100;0.5;0.4;0.316;250
10;150;0.2;0;0.568;250
10;150;0.2;0.4;0.3;250
10;150;0.5;0;0.34;250
10;150;0.5;0.4;0.376;250
20;50;0.2;0;0.504;250
20;50;0.2;0.4;0.476;250
20;50;0.5;0;1;250
20;50;0.5;0.4;1;250
20;100;0.2;0;0.608;250
20;100;0.2;0.4;0.584;250
20;100;0.5;0;0.992;250
20;100;0.5;0.4;0.996;250
20;150;0.2;0;0.792;250
20;150;0.2;0.4;0.676;250
20;150;0.5;0;0.992;250
20;150;0.5;0.4;0.992;250
