model,missing_model,logLik_H1_total,logLik_H0_total,logLik_H1_missingness,logLik_H0_missingness,logLik_H1_gaussian,logLik_H0_gaussian,statistic_total,statistic_missingness,statistic_gaussian,missingness_share_of_total,gaussian_share_of_total
scMAN-MV,multivariate_bernoulli,-69593.3821157737,-69631.3913306482,-34712.3368002635,-34750.3340908694,-34881.0453155102,-34881.0572397788,76.0184297490632,75.9945812117803,0.0238485372829018,0.999686279532981,0.000313720467018667
scMAN-Bernoulli,bernoulli,-56780.516799888,-57140.4480426551,-21899.471484335,-22259.3908029194,-34881.045315553,-34881.0572397357,719.86248553425,719.838637168854,0.0238483653956791,0.999966870942888,3.31290571114842e-05
