1;0.12
2;0.08
3;0.04
4;0.17
5;0.09
6;0.02
7;0.45
8;0.1
9;0.22
10;0.04
11;0
12;0.08
13;0
14;0.06
15;0.01
16;0.12
17;0.01
18;0
19;0.04
20;0.06
21;0.11
22;0
23;0.23
24;0
25;0
26;0.06
27;0.01
28;0.01
29;0.01
30;0.04
31;0
32;0.27
33;0
34;0.02
35;0.01
36;0.1
37;0.1
38;0.02
39;0.08
40;0.01
41;0.05
42;0
43;0.01
44;0.05
45;0.05
46;0.01
47;0.06
48;0.02
49;0.02
50;0.02
51;0.01
52;0.03
53;0.04
54;0
55;0.02
56;0.01
57;0
58;0.12
59;0.02
60;0.08
61;0
62;0.03
63;0.06
64;0.15
65;0.01
66;0.04
67;0.1
68;0.02
69;0.03
70;0.03
71;0
72;0.1
73;0.03
74;0.01
75;0.01
76;0
77;0.07
78;0.01
79;0.03
80;0.08
81;0.03
82;0
83;0.04
84;0.02
85;0
86;0.03
87;0.08
88;0.01
89;0.02
90;0.08
91;0.02
92;0.01
93;0.06
94;0.02
95;0
96;0
97;0.05
98;0
99;0.02
100;0.04
101;0.02
102;0.08
103;0.01
104;0.03
105;0.17
106;0.02
107;0.03
108;0
109;0.06
110;0.1
111;0
112;0.02
113;0
114;0.05
115;0.01
116;0.04
117;0.06
118;0.04
119;0.12
120;0.15
121;0
122;0.09
123;0.07
124;0.17
125;0.16
126;0.03
127;0.09
128;0.02
129;0
130;0.13
131;0.02
132;0.05
133;0.05
134;0.05
135;0.09
136;0.1
137;0.12
138;0.02
139;0.11
140;0.03
141;0.03
142;0.2
143;0.01
144;0.06
145;0
146;0.08
147;0.31
148;0.09
149;0.03
150;0.01
151;0.1
152;0.14
153;0.1
154;0.07
155;0.12
156;0.06
157;0
158;0
159;0.11
160;0.07
161;0
162;0.06
163;0.16
164;0
165;0.01
166;0
167;0.11
168;0.01
169;0.07
170;0.01
171;0.01
172;0.05
173;0.03
174;0.18
175;0.01
176;0.11
177;0.08
178;0.06
179;0
180;0.03
181;0
182;0.04
183;0.03
184;0.05
185;0.07
186;0
187;0
188;0.01
189;0
190;0.23
191;0.06
192;0.01
193;0.06
194;0.25
195;0.08
196;0.01
197;0.06
198;0
199;0
200;0.07
201;0.01
202;0
203;0.15
204;0.01
205;0.01
206;0.58
207;0
208;0
209;0.02
210;0.01
211;0.03
212;0.01
213;0
214;0.02
215;0.12
216;0.04
217;0.03
218;0
219;0.03
220;0
221;0.02
222;0.01
223;0.08
224;0
225;0.05
226;0.17
227;0
228;0.02
229;0.13
230;0.1
231;0.03
232;0.03
233;0.1
234;0
235;0
236;0.22
237;0
238;0
239;0
240;0.01
241;0.04
242;0.02
243;0.02
244;0
245;0.09
246;0.05
247;0.01
248;0.06
249;0.07
250;0.05
