1;0.8
2;0.1
3;0.77
4;0
5;0.15
6;0.28
7;0.98
8;0.69
9;0.4
10;0.31
11;0.14
12;0.32
13;0.69
14;0.21
15;0.86
16;0.86
17;0.73
18;0.04
19;0.85
20;0.36
21;0.63
22;0.73
23;0.06
24;0.06
25;0.37
26;0.11
27;0.24
28;0.8
29;0.63
30;0.96
31;0.13
32;0.58
33;0.25
34;0.93
35;0.61
36;0.49
37;0.07
38;0.64
39;0.1
40;0.39
41;0.42
42;0.03
43;0.41
44;0.87
45;0.1
46;0.37
47;0.53
48;0.89
49;0.77
50;0.42
51;0.86
52;0.97
53;0.74
54;0.31
55;0.9
56;0.14
57;0.3
58;0.81
59;0.7
60;0.65
61;0.04
62;0.09
63;0.55
64;0.79
65;0.93
66;0.5
67;0.79
68;0.5
69;0.96
70;0.41
71;0.62
72;0.13
73;0.21
74;0.56
75;0.23
76;0.43
77;0.21
78;0.79
79;0.4
80;0.88
81;0.2
82;0.2
83;0.68
84;0.59
85;0.05
86;0.39
87;0.9
88;0.66
89;0.77
90;0.05
91;0.71
92;0.19
93;0.74
94;0.66
95;0.29
96;0.39
97;0.97
98;0.37
99;0.65
100;0.2
101;0.49
102;0.53
103;0.16
104;0.97
105;0.98
106;0.02
107;0.4
108;0.66
109;0.75
110;0.72
111;0.35
112;0.48
113;0.69
114;0.29
115;0.7
116;0.35
117;0.74
118;0.05
119;0.81
120;0.14
121;0.59
122;0.39
123;0.42
124;0.96
125;0.95
126;0.97
127;0.14
128;0.41
129;0.42
130;0.98
131;0.49
132;0.79
133;0.2
134;0.17
135;0.6
136;0.75
137;0.93
138;0.78
139;0.38
140;0.7
141;0.1
142;0.68
143;0.39
144;0.01
145;0.04
146;0.81
147;0.71
148;0.8
149;0.67
150;0.2
151;0.73
152;0.63
153;0.65
154;0.85
155;0.41
156;0.45
157;0.67
158;0.29
159;0.47
160;0.04
161;0.29
162;0.77
163;0.59
164;0.02
165;0.82
166;0.7
167;0.44
168;0.39
169;0.8
170;0.58
171;0.58
172;0.1
173;0.14
174;0.31
175;0.99
176;0.49
177;0.32
178;0.56
179;0.62
180;0.1
181;0.45
182;0.02
183;0.48
184;0.98
185;0.3
186;0.14
187;0.62
188;0.88
189;0.31
190;0.78
191;0.77
192;0.39
193;0.73
194;0.49
195;0.65
196;0.58
197;0.13
198;0.45
199;0.63
200;0.94
201;0.32
202;0.88
203;0.52
204;0.84
205;0.74
206;0.43
207;0.28
208;0.69
209;0.87
210;0.21
211;1
212;0.68
213;0.15
214;0.81
215;0.45
216;0.42
217;0.09
218;0.08
219;0.6
220;0.34
221;0.2
222;0.47
223;0.55
224;0.11
225;0.41
226;0
227;0.45
228;0.74
229;0.36
230;0.13
231;0.9
232;0.52
233;0.68
234;0.44
235;0.2
236;0.63
237;0.92
238;0.39
239;0.48
240;0.23
241;0.33
242;0.06
243;0.54
244;0.32
245;0.41
246;0.3
247;0.21
248;0.2
249;0.32
250;0.38
