n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;1;250;49.92;49.92;4.37;10.28
10;50;0.2;0.4;1;250;49.92;49.92;4.4;11.21
10;50;0.5;0;1;250;37.03;37.03;4.36;19.07
10;50;0.5;0.4;1;250;37.03;37.03;4.46;21.75
10;50;0.8;0;0.715;249;8.13;8.13;3.35;7.67
10;50;0.8;0.4;0.707;249;8.13;8.13;3.37;8.18
10;100;0.2;0;1;250;99.83;99.83;4.79;18.24
10;100;0.2;0.4;1;250;99.83;99.83;4.84;20.39
10;100;0.5;0;1;250;69.77;69.77;4.95;31.37
10;100;0.5;0.4;1;250;69.77;69.77;5.26;35.94
10;100;0.8;0;0.908;250;13.6;13.6;3.66;11.3
10;100;0.8;0.4;0.852;250;13.6;13.6;3.68;11.93
10;150;0.2;0;1;250;149.7;149.7;5.03;26.59
10;150;0.2;0.4;1;250;149.7;149.7;5.13;29.09
10;150;0.5;0;1;250;100.81;100.81;5.49;42.11
10;150;0.5;0.4;1;250;100.81;100.81;6.09;47.78
10;150;0.8;0;0.956;250;19.26;19.26;3.88;14.27
10;150;0.8;0.4;0.932;250;19.26;19.26;3.89;14.75
20;50;0.2;0;1;250;50;50;5.01;6.82
20;50;0.2;0.4;1;250;50;50;5.03;7.01
20;50;0.5;0;1;250;47.93;47.93;5.17;17.87
20;50;0.5;0.4;1;250;47.93;47.93;5.28;20.67
20;50;0.8;0;1;250;13.16;13.16;4.36;12.63
20;50;0.8;0.4;0.996;250;13.16;13.16;4.38;13.08
20;100;0.2;0;1;250;100;100;5.41;9.83
20;100;0.2;0.4;1;250;100;100;5.43;10.63
20;100;0.5;0;1;250;93.49;93.49;5.76;30.04
20;100;0.5;0.4;1;250;93.49;93.49;6.03;34.86
20;100;0.8;0;1;250;21.86;21.86;4.73;17.77
20;100;0.8;0.4;1;250;21.86;21.86;4.83;19.24
20;150;0.2;0;1;250;150;150;5.65;13.93
20;150;0.2;0.4;NA;0;NA;NA;NA;NA
20;150;0.5;0;1;250;137.79;137.79;6.14;41
20;150;0.5;0.4;1;250;137.79;137.79;6.73;47.63
20;150;0.8;0;1;250;27.46;27.46;4.91;20.88
20;150;0.8;0.4;1;250;27.46;27.46;5.06;22.71
