1;0
2;0.01
3;0
4;0.35
5;0.07
6;0.01
7;0
8;0
9;0
10;1
11;0
12;0.02
13;0.03
14;0
15;0
16;1
17;0
18;0
19;0
20;0.02
21;0.03
22;0
23;0
24;0
25;0.02
26;0.02
27;0.01
28;0
29;0.01
30;0
31;0.01
32;0
33;0
34;0
35;0
36;0.12
37;0
38;0
39;1
40;0.02
41;0
42;0
43;0
44;0
45;0
46;0
47;0.08
48;0.26
49;0.01
50;0
51;0
52;0.02
53;0.01
54;0
55;0.99
56;0
57;0.35
58;0
59;0
60;0
61;0.01
62;0.01
63;0
64;0.01
65;0
66;0
67;0
68;0.01
69;0
70;0
71;0.02
72;0.02
73;0
74;0.01
75;0.01
76;0.03
77;0
78;0
79;0
80;0
81;0
82;0.13
83;0
84;0.01
85;0
86;0
87;0
88;0.01
89;1
90;0
91;0
92;0.02
93;1
94;0.01
95;0
96;0
97;0
98;0.98
99;0
100;0
101;0.98
102;0
103;0
104;0.03
105;0
106;0
107;0
108;0
109;0
110;0.07
111;0.01
112;0
113;0
114;0
115;0.01
116;0
117;0.01
118;0.01
119;0.01
120;0.02
121;0
122;0.98
123;0.01
124;0
125;0
126;0
127;0
128;0
129;0.01
130;0
131;0
132;0.01
133;0
134;0.01
135;0.08
136;0
137;0
138;0.01
139;0.01
140;0.06
141;0
142;0.01
143;1
144;0
145;0
146;0.22
147;0
148;0
149;0.02
150;0.11
151;0.01
152;0.99
153;0.01
154;0
155;0.01
156;0
157;0.01
158;0.01
159;0.03
160;0.02
161;0
162;0.01
163;0.01
164;0.01
165;0
166;0
167;0
168;0
169;0.01
170;0.01
171;0
172;0
173;0
174;0.01
175;0.41
176;0
177;0
178;0.02
179;0
180;0.01
181;0
182;0
183;1
184;0.99
185;0
186;0
187;0
188;0.01
189;0
190;0.02
191;0.01
192;0.01
193;0.99
194;0.01
195;0
196;0
197;0
198;0
199;0.55
200;0.01
201;0
202;0
203;0
204;0
205;0.98
206;0.05
207;0
208;0
209;0
210;0
211;0.02
212;0
213;0
214;0
215;0.01
216;0.02
217;0
218;1
219;0.01
220;0.01
221;0.01
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0.01
230;0.01
231;0
232;0.02
233;0
234;0
235;0
236;0.02
237;0
238;0.01
239;0
240;0.01
241;0.01
242;0
243;0
244;0.02
245;0
246;0
247;0
248;0
249;0.99
250;0
